z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8562500000e+01,-2.4877698241e-03,-3.5444047268e-02,2.8314323041e+02,1.6227202614e-04,1.3814622096e-03,-9.2470611926e-08,-3.0329021942e-05,2.0197318734e-07,4.2105313322e-08,-2.7608384558e-09,-3.8707982159e-07,-5.8111831124e-05,-9.6510173371e-03,3.0937500000e-01
-1.8937500000e+01,-2.9581116396e-03,-3.4977463713e-02,2.8314322322e+02,1.6165878012e-04,1.3474107798e-03,-8.9722213490e-08,-3.0273397955e-05,1.9729329714e-07,4.1287788933e-08,-3.3798411438e-09,-6.0838312664e-07,-5.6078935892e-05,-9.6502741180e-03,3.1562500000e-01
-1.9312500000e+01,-3.4165102876e-03,-3.4514637905e-02,2.8314321586e+02,1.6149327237e-04,1.3140815134e-03,-8.7087583548e-08,-3.0205766114e-05,1.9160552591e-07,4.1459686932e-08,-4.0989856492e-09,-8.1937199720e-07,-5.4112647554e-05,-9.6495186762e-03,3.2187500000e-01
-1.9687500000e+01,-3.8641492937e-03,-3.4055218752e-02,2.8314320834e+02,1.6177074885e-04,1.2814204246e-03,-8.4574911973e-08,-3.0126020237e-05,1.8641732072e-07,4.2092215556e-08,-5.2825605235e-09,-1.0214398028e-06,-5.2207691987e-05,-9.6487517683e-03,3.2812500000e-01
-2.0062500000e+01,-4.2995426541e-03,-3.3598409609e-02,2.8314320067e+02,1.6241165659e-04,1.2493602409e-03,-8.2151826484e-08,-3.0034334822e-05,1.8223874447e-07,4.1812762567e-08,-6.3741320337e-09,-1.2149184082e-06,-5.0359351388e-05,-9.6479768005e-03,3.3437500000e-01
-2.0437500000e+01,-4.7241779074e-03,-3.3143514122e-02,2.8314319281e+02,1.6338807568e-04,1.2178751189e-03,-7.9771877804e-08,-2.9930309692e-05,1.7898450967e-07,4.1007804456e-08,-6.5459311228e-09,-1.4009366872e-06,-4.8566900129e-05,-9.6471930296e-03,3.4062500000e-01
-2.0812500000e+01,-5.1376759832e-03,-3.2689865279e-02,2.8314318478e+02,1.6466911390e-04,1.1869195556e-03,-7.7485187250e-08,-2.9813334106e-05,1.7642658375e-07,4.0421159295e-08,-6.4034254994e-09,-1.5801277428e-06,-4.6826629762e-05,-9.6463993088e-03,3.4687500000e-01
-2.1187500000e+01,-5.5412579299e-03,-3.2237927203e-02,2.8314317656e+02,1.6620841892e-04,1.1564796929e-03,-7.5320201595e-08,-2.9685345113e-05,1.7333671546e-07,4.0183818739e-08,-6.6210346570e-09,-1.7530888234e-06,-4.5134932969e-05,-9.6456015094e-03,3.5312500000e-01
-2.1562500000e+01,-5.9352344315e-03,-3.1787118362e-02,2.8314316816e+02,1.6796397467e-04,1.1265166994e-03,-7.3222388722e-08,-2.9547248055e-05,1.6966049891e-07,4.0280311055e-08,-7.5052145271e-09,-1.9209026049e-06,-4.3488908086e-05,-9.6448048150e-03,3.5937500000e-01
-2.1937500000e+01,-6.3198549296e-03,-3.1338678582e-02,2.8314315954e+02,1.6992273877e-04,1.0970915884e-03,-7.1179997606e-08,-2.9399177403e-05,1.6650633238e-07,4.0757890482e-08,-8.5754609539e-09,-2.0835188002e-06,-4.1890607626e-05,-9.6440119710e-03,3.6562500000e-01
-2.2312500000e+01,-6.6946363651e-03,-3.0892906255e-02,2.8314315072e+02,1.7208131293e-04,1.0682193518e-03,-6.9238581067e-08,-2.9239848440e-05,1.6256829861e-07,4.1612935911e-08,-9.1934901140e-09,-2.2413155285e-06,-4.0339617744e-05,-9.6432257288e-03,3.7187500000e-01
-2.2687500000e+01,-7.0608113598e-03,-3.0448630816e-02,2.8314314171e+02,1.7441176002e-04,1.0398207703e-03,-6.7423410619e-08,-2.9069190878e-05,1.5704369524e-07,4.2302979497e-08,-9.2066126250e-09,-2.3940228090e-06,-3.8831452752e-05,-9.6424466488e-03,3.7812500000e-01
-2.3062500000e+01,-7.4180132514e-03,-3.0006188717e-02,2.8314313250e+02,1.7692668499e-04,1.0119120395e-03,-6.5664897416e-08,-2.8888038703e-05,1.5152257574e-07,4.2904161282e-08,-9.2203908506e-09,-2.5420185452e-06,-3.7366316134e-05,-9.6416709418e-03,3.8437500000e-01
-2.3437500000e+01,-7.7674897299e-03,-2.9564313808e-02,2.8314312306e+02,1.7963329777e-04,9.8443196145e-04,-6.3921543344e-08,-2.8697686680e-05,1.4682408083e-07,4.2873765540e-08,-9.5078986049e-09,-2.6861842078e-06,-3.5941303500e-05,-9.6408951041e-03,3.9062500000e-01
-2.3812500000e+01,-8.1081022534e-03,-2.9124030024e-02,2.8314311342e+02,1.8247932028e-04,9.5742229782e-04,-6.2266424972e-08,-2.8499231700e-05,1.4338980828e-07,4.2513992826e-08,-9.7895439286e-09,-2.8263942617e-06,-3.4556762958e-05,-9.6401159847e-03,3.9687500000e-01
-2.4187500000e+01,-8.4398024475e-03,-2.8685709212e-02,2.8314310355e+02,1.8545137009e-04,9.3089611643e-04,-6.0691640379e-08,-2.8291390796e-05,1.4181935688e-07,4.1924820726e-08,-9.3155058452e-09,-2.9628816741e-06,-3.3212651199e-05,-9.6393324799e-03,4.0312500000e-01
-2.4562500000e+01,-8.7650104074e-03,-2.8249045533e-02,2.8314309345e+02,1.8856765796e-04,9.0484366939e-04,-5.9166721301e-08,-2.8074274563e-05,1.4056748643e-07,4.1828673014e-08,-8.0189335900e-09,-3.0974899444e-06,-3.1908442227e-05,-9.6385444307e-03,4.0937500000e-01
-2.4937500000e+01,-9.0836642196e-03,-2.7813851289e-02,2.8314308310e+02,1.9182812458e-04,8.7925632079e-04,-5.7687830592e-08,-2.7849931970e-05,1.3831873029e-07,4.2503551099e-08,-7.1046222954e-09,-3.2306168722e-06,-3.0643390838e-05,-9.6377534179e-03,4.1562500000e-01
-2.5312500000e+01,-9.3954094200e-03,-2.7381428941e-02,2.8314307248e+02,1.9519738007e-04,8.5419856990e-04,-5.6257072650e-08,-2.7619062041e-05,1.3511495233e-07,4.2299376668e-08,-7.3609410357e-09,-3.3610642305e-06,-2.9419804712e-05,-9.6369623128e-03,4.2187500000e-01
-2.5687500000e+01,-9.7001627096e-03,-2.6951321487e-02,2.8314306164e+02,1.9866935038e-04,8.2964047715e-04,-5.4839732659e-08,-2.7381046186e-05,1.3129905483e-07,4.1856993321e-08,-8.2043406532e-09,-3.4890018746e-06,-2.8236257848e-05,-9.6361704328e-03,4.2812500000e-01
-2.6062500000e+01,-9.9980985768e-03,-2.6523048163e-02,2.8314305047e+02,2.0223553721e-04,8.0555922540e-04,-5.3414478056e-08,-2.7136169862e-05,1.2743096330e-07,4.1746970222e-08,-9.0987262613e-09,-3.6146094013e-06,-2.7091107232e-05,-9.6353746816e-03,4.3437500000e-01
-2.6437500000e+01,-1.0288026039e-02,-2.6096135845e-02,2.8314303901e+02,2.0587915177e-04,7.8192237835e-04,-5.2002489472e-08,-2.6884133109e-05,1.2377924133e-07,4.1024541967e-08,-9.7279783121e-09,-3.7378979853e-06,-2.5982482007e-05,-9.6345739957e-03,4.4062500000e-01
-2.6812500000e+01,-1.0571182072e-02,-2.5670402770e-02,2.8314302725e+02,2.0960681109e-04,7.5868822829e-04,-5.0626382335e-08,-2.6624345180e-05,1.2051863272e-07,4.0249261561e-08,-9.8050827201e-09,-3.8597029854e-06,-2.4906180239e-05,-9.6337680066e-03,4.4687500000e-01
-2.7187500000e+01,-1.0847350219e-02,-2.5247092289e-02,2.8314301520e+02,2.1339507239e-04,7.3594583165e-04,-4.9309388646e-08,-2.6356497594e-05,1.1719423423e-07,3.9337708427e-08,-9.8456647914e-09,-3.9797731744e-06,-2.3866527179e-05,-9.6329584516e-03,4.5312500000e-01
-2.7562500000e+01,-1.1116189948e-02,-2.4825389798e-02,2.8314300287e+02,2.1720313813e-04,7.1364422107e-04,-4.8013976903e-08,-2.6081442768e-05,1.1370915173e-07,3.8507638790e-08,-1.0440602081e-08,-4.0973706890e-06,-2.2860609718e-05,-9.6321471300e-03,4.5937500000e-01
-2.7937500000e+01,-1.1378136093e-02,-2.4405324517e-02,2.8314299022e+02,2.2104036707e-04,6.9179209757e-04,-4.6743427113e-08,-2.5799461527e-05,1.1077880537e-07,3.7628312229e-08,-1.1081899803e-08,-4.2131828569e-06,-2.1888447776e-05,-9.6313356544e-03,4.6562500000e-01
-2.8312500000e+01,-1.1632964313e-02,-2.3985481847e-02,2.8314297722e+02,2.2490649192e-04,6.7032215032e-04,-4.5483697682e-08,-2.5509842658e-05,1.0867010519e-07,3.6691294512e-08,-1.0968541296e-08,-4.3274044836e-06,-2.0946842133e-05,-9.6305260369e-03,4.7187500000e-01
-2.8687500000e+01,-1.1880580887e-02,-2.3565370389e-02,2.8314296389e+02,2.2876806280e-04,6.4919647083e-04,-4.4253138257e-08,-2.5214120441e-05,1.0667350535e-07,3.6920799260e-08,-1.0521167359e-08,-4.4389680499e-06,-2.0033328528e-05,-9.6297196299e-03,4.7812500000e-01
-2.9062500000e+01,-1.2121334711e-02,-2.3146256164e-02,2.8314295020e+02,2.3261352588e-04,6.2845634531e-04,-4.3061519775e-08,-2.4912370659e-05,1.0393763320e-07,3.7712661436e-08,-1.0170347016e-08,-4.5475654194e-06,-1.9148285636e-05,-9.6289187668e-03,4.8437500000e-01
-2.9437500000e+01,-1.2354900991e-02,-2.2727764518e-02,2.8314293611e+02,2.3640631247e-04,6.0809249701e-04,-4.1908199608e-08,-2.4603511193e-05,1.0042942250e-07,3.8705727787e-08,-9.8931272568e-09,-4.6527980456e-06,-1.8291200061e-05,-9.6281243555e-03,4.9062500000e-01
-2.9812500000e+01,-1.2580602917e-02,-2.2309440115e-02,2.8314292164e+02,2.4013319577e-04,5.8807251703e-04,-4.0803626400e-08,-2.4286540499e-05,9.6700826098e-08,3.9957204436e-08,-9.3006013236e-09,-4.7547410311e-06,-1.7460583396e-05,-9.6273367653e-03,4.9687500000e-01
-3.0187500000e+01,-1.2798249442e-02,-2.1892377914e-02,2.8314290679e+02,2.4376810283e-04,5.6843256612e-04,-3.9743710101e-08,-2.3962789152e-05,9.2936141833e-08,4.0463445008e-08,-8.8780350291e-09,-4.8524755227e-06,-1.6656722392e-05,-9.6265586438e-03,5.0312500000e-01
-3.0562500000e+01,-1.3008141125e-02,-2.1475720869e-02,2.8314289149e+02,2.4730287061e-04,5.4911943877e-04,-3.8731435060e-08,-2.3633680086e-05,8.9717331658e-08,4.0550981335e-08,-8.7285821029e-09,-4.9460281353e-06,-1.5876660683e-05,-9.6257882110e-03,5.0937500000e-01
-3.0937500000e+01,-1.3211040870e-02,-2.1059906079e-02,2.8314287577e+02,2.5075173725e-04,5.3016007486e-04,-3.7730811414e-08,-2.3299704941e-05,8.6997960798e-08,4.0534638744e-08,-8.7891927347e-09,-5.0355992661e-06,-1.5121261795e-05,-9.6250227520e-03,5.1562500000e-01
-3.1312500000e+01,-1.3406418035e-02,-2.0644233529e-02,2.8314285958e+02,2.5411241181e-04,5.1152348156e-04,-3.6749247188e-08,-2.2961130946e-05,8.4173727511e-08,4.0503623636e-08,-9.2582252759e-09,-5.1215400760e-06,-1.4388920608e-05,-9.6242615490e-03,5.2187500000e-01
-3.1687500000e+01,-1.3593979417e-02,-2.0229540920e-02,2.8314284295e+02,2.5737094960e-04,4.9327726130e-04,-3.5778362239e-08,-2.2617569002e-05,8.1632406533e-08,4.0994542477e-08,-9.6696143783e-09,-5.2037112332e-06,-1.3683190121e-05,-9.6235009488e-03,5.2812500000e-01
-3.2062500000e+01,-1.3774707598e-02,-1.9815130548e-02,2.8314282590e+02,2.6054799410e-04,4.7538962725e-04,-3.4830603513e-08,-2.2268593371e-05,7.9320843725e-08,4.1632608111e-08,-9.6455547251e-09,-5.2828610608e-06,-1.3002159854e-05,-9.6227382027e-03,5.3437500000e-01
