z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-2.2687500000e+01,-4.1445558551e-06,-9.3933436593e-05,2.8300587320e+02,4.9409567597e-05,4.8800900062e-05,-3.3934937034e-08,-5.7376820275e-08,7.5971766540e-08,6.6548243923e-08,-1.6250394836e-09,2.4530696659e-09,-1.1774928070e-08,-2.5109943055e-04,3.8782051282e-01
-2.3062500000e+01,-2.2379846662e-06,-9.7844326035e-05,2.8300587426e+02,4.9320069122e-05,4.8699997555e-05,-3.3705751644e-08,-5.7628236410e-08,7.5411223005e-08,6.6334494167e-08,-9.1500325953e-10,2.6325145562e-09,-1.2469569563e-08,-2.5049482051e-04,3.9423076923e-01
-2.3437500000e+01,-2.5609999397e-07,-1.0123355903e-04,2.8300587418e+02,4.9235350107e-05,4.8606596431e-05,-3.3465867714e-08,-5.8283215178e-08,7.4694725928e-08,6.5953654832e-08,-3.6491793193e-10,2.6494831333e-09,-1.3312232431e-08,-2.4986470003e-04,4.0064102564e-01
-2.3812500000e+01,2.0510323542e-06,-1.0402845306e-04,2.8300587319e+02,4.9145882421e-05,4.8522593347e-05,-3.3220002396e-08,-5.9904812920e-08,7.4105269556e-08,6.5548812172e-08,-2.6663444444e-10,2.7128194449e-09,-1.4156233404e-08,-2.4920984611e-04,4.0705128205e-01
-2.4187500000e+01,4.1939492306e-06,-1.0593054593e-04,2.8300587136e+02,4.9051490643e-05,4.8442968752e-05,-3.2961266840e-08,-6.2470060336e-08,7.3642384674e-08,6.5485637609e-08,-4.4035651187e-10,2.7327016087e-09,-1.4822338020e-08,-2.4853104057e-04,4.1346153846e-01
-2.4562500000e+01,6.0389836061e-06,-1.0739890426e-04,2.8300586849e+02,4.8956717579e-05,4.8367761539e-05,-3.2705412222e-08,-6.5864677967e-08,7.2497393784e-08,6.5127890103e-08,-9.2266703809e-10,2.7608862346e-09,-1.5500230810e-08,-2.4783064281e-04,4.1987179487e-01
-2.4937500000e+01,7.6620519422e-06,-1.0828782251e-04,2.8300586471e+02,4.8856907378e-05,4.8299094932e-05,-3.2466947757e-08,-6.9556982054e-08,7.1663961612e-08,6.4434954447e-08,-1.3117243036e-09,2.8551593453e-09,-1.6029440872e-08,-2.4710815724e-04,4.2628205128e-01
-2.5312500000e+01,8.8625266498e-06,-1.0902739115e-04,2.8300585980e+02,4.8754019232e-05,4.8241849282e-05,-3.2228597046e-08,-7.3893032792e-08,7.0971601285e-08,6.3453635554e-08,-1.8042985522e-09,3.0006455923e-09,-1.6546638076e-08,-2.4636381089e-04,4.3269230769e-01
-2.5687500000e+01,9.5243779637e-06,-1.0895123500e-04,2.8300585404e+02,4.8645928536e-05,4.8184379875e-05,-3.1996862891e-08,-7.8522803125e-08,6.9805148956e-08,6.2777081428e-08,-2.4366832492e-09,3.0105488488e-09,-1.6975448656e-08,-2.4559936693e-04,4.3910256410e-01
-2.6062500000e+01,9.5461739154e-06,-1.0832533816e-04,2.8300584742e+02,4.8533271898e-05,4.8130647659e-05,-3.1760869406e-08,-8.3435109495e-08,6.8676679212e-08,6.2219128434e-08,-2.9142330904e-09,2.8824095397e-09,-1.7310249435e-08,-2.4481641350e-04,4.4551282051e-01
